package,version,date,source,pkg_source,Title,Descp
ggdendro,0.1.23,2022-02-16,R 4.2.0,CRAN,Create Dendrograms and Tree Diagrams Using 'ggplot2',"This is a set of tools for dendrograms and
    tree plots using 'ggplot2'.  The 'ggplot2' philosophy is to
    clearly separate data from the presentation.
    Unfortunately the plot method for dendrograms plots
    directly to a plot device without exposing the data.
    The 'ggdendro' package resolves this by making available
    functions that extract the dendrogram plot data. The package
    provides implementations for 'tree', 'rpart', as well as diana and agnes
    (from 'cluster') diagrams."
ggdist,3.1.1,2022-02-27,R 4.2.0,CRAN,Visualizations of Distributions and Uncertainty,"Provides primitives for visualizing distributions using 'ggplot2' that are particularly tuned for
    visualizing uncertainty in either a frequentist or Bayesian mode. Both analytical distributions (such as 
    frequentist confidence distributions or Bayesian priors) and distributions represented as samples (such as 
    bootstrap distributions or Bayesian posterior samples) are easily visualized. Visualization primitives include
    but are not limited to: points with multiple uncertainty intervals, 
    eye plots (Spiegelhalter D., 1999) <https://ideas.repec.org/a/bla/jorssa/v162y1999i1p45-58.html>,
    density plots, gradient plots, dot plots (Wilkinson L., 1999) <doi:10.1080/00031305.1999.10474474>,
    quantile dot plots (Kay M., Kola T., Hullman J., Munson S., 2016) <doi:10.1145/2858036.2858558>,
    complementary cumulative distribution function 
    barplots (Fernandes M., Walls L., Munson S., Hullman J., Kay M., 2018) <doi:10.1145/3173574.3173718>,
    and fit curves with multiple uncertainty ribbons."
ggeffects,1.1.2,2022-04-10,R 4.2.0,CRAN,"Create Tidy Data Frames of Marginal Effects for 'ggplot' from
Model Outputs","Compute marginal effects and adjusted predictions from statistical
    models and returns the result as tidy data frames. These data frames are 
    ready to use with the 'ggplot2'-package. Effects and predictions can be 
    calculated for many different models. Interaction terms, splines and 
    polynomial terms are also supported. The main functions are ggpredict(), 
    ggemmeans() and ggeffect(). There is a generic plot()-method to plot the 
    results using 'ggplot2'."
ggExtra,0.10.0,2022-03-23,R 4.2.0,CRAN,"Add Marginal Histograms to 'ggplot2', and More 'ggplot2'
Enhancements","Collection of functions and layers to enhance 'ggplot2'. The 
    flagship function is 'ggMarginal()', which can be used to add marginal
    histograms/boxplots/density plots to 'ggplot2' scatterplots."
ggforce,0.3.3,2021-03-05,R 4.2.0,CRAN,Accelerating 'ggplot2',"The aim of 'ggplot2' is to aid in visual data investigations. This
    focus has led to a lack of facilities for composing specialised plots.
    'ggforce' aims to be a collection of mainly new stats and geoms that fills
    this gap. All additional functionality is aimed to come through the official
    extension system so using 'ggforce' should be a stable experience."
ggformula,0.10.1,2021-01-13,R 4.2.0,CRAN,Formula Interface to the Grammar of Graphics,Provides a formula interface to 'ggplot2' graphics.
ggfortify,0.4.14,2022-01-03,R 4.2.0,CRAN,Data Visualization Tools for Statistical Analysis Results,"Unified plotting tools for statistics commonly used, such as GLM,
    time series, PCA families, clustering and survival analysis. The package offers
    a single plotting interface for these analysis results and plots in a unified
    style using 'ggplot2'."
ggiraph,0.8.2,2022-02-22,R 4.2.0,CRAN,Make 'ggplot2' Graphics Interactive,Create interactive 'ggplot2' graphics using 'htmlwidgets'.
ggmap,3.0.0,2019-02-05,R 4.2.0,CRAN,Spatial Visualization with ggplot2,"A collection of functions to visualize spatial data and models
    on top of static maps from various online sources (e.g Google Maps and Stamen
    Maps). It includes tools common to those tasks, including functions for
    geolocation and routing."
ggmosaic,0.3.3,2021-02-23,R 4.2.0,CRAN,Mosaic Plots in the 'ggplot2' Framework,"Mosaic plots in the 'ggplot2' framework. Mosaic
    plot functionality is provided in a single 'ggplot2' layer by calling
    the geom 'mosaic'."
ggnet,0.1.0,2022-04-28,briatte/ggnet@da9a7cf2fac24a37ef626e6143ee376eebbdf2d8,Github,Functions to plot networks with ggplot2,"This package provides two different functions, called ggnet and
    ggnet2, to plot networks as ggplot2 objects. The package vignette provides a
    complete guide to the most flexible of the two functions, ggnet2."
ggnetwork,0.5.10,2021-07-06,R 4.2.0,CRAN,Geometries to Plot Networks with 'ggplot2',Geometries to plot network objects with 'ggplot2'.
ggplot2,3.3.5,2021-06-25,R 4.2.0,CRAN,Create Elegant Data Visualisations Using the Grammar of Graphics,"A system for 'declaratively' creating graphics,
    based on ""The Grammar of Graphics"". You provide the data, tell 'ggplot2'
    how to map variables to aesthetics, what graphical primitives to use,
    and it takes care of the details."
ggpubr,0.4.0,2020-06-27,R 4.2.0,CRAN,'ggplot2' Based Publication Ready Plots,"The 'ggplot2' package is excellent and flexible for elegant data
    visualization in R. However the default generated plots requires some formatting
    before we can send them for publication. Furthermore, to customize a 'ggplot',
    the syntax is opaque and this raises the level of difficulty for researchers
    with no advanced R programming skills. 'ggpubr' provides some easy-to-use
    functions for creating and customizing 'ggplot2'- based publication ready plots."
ggraph,2.0.5,2021-02-23,R 4.2.0,CRAN,An Implementation of Grammar of Graphics for Graphs and Networks,"The grammar of graphics as implemented in ggplot2 is a poor fit for
    graph and network visualizations due to its reliance on tabular data input.
    ggraph is an extension of the ggplot2 API tailored to graph visualizations
    and provides the same flexible approach to building up plots layer by layer."
ggrepel,0.9.1,2021-01-15,R 4.2.0,CRAN,"Automatically Position Non-Overlapping Text Labels with
'ggplot2'","Provides text and label geoms for 'ggplot2' that help to avoid
    overlapping text labels. Labels repel away from each other and away from the
    data points."
ggridges,0.5.3,2021-01-08,R 4.2.0,CRAN,Ridgeline Plots in 'ggplot2',Ridgeline plots provide a convenient way of visualizing changes in distributions over time or space. This package enables the creation of such plots in 'ggplot2'.
ggsci,2.9,2018-05-14,R 4.2.0,CRAN,"Scientific Journal and Sci-Fi Themed Color Palettes for
'ggplot2'","A collection of 'ggplot2' color palettes inspired by
    plots in scientific journals, data visualization libraries,
    science fiction movies, and TV shows."
ggsignif,0.6.3,2021-09-09,R 4.2.0,CRAN,Significance Brackets for 'ggplot2',"Enrich your 'ggplots' with group-wise comparisons.
    This package provides an easy way to indicate if two groups are
    significantly different. Commonly this is shown by a bracket on top
    connecting the groups of interest which itself is annotated with the
    level of significance (NS, *, **, ***).  The package provides a single
    layer (geom_signif()) that takes the groups for comparison and the
    test (t.test(), wilcox.text() etc.) as arguments and adds the
    annotation to the plot."
ggspatial,1.1.5,2021-01-04,R 4.2.0,CRAN,Spatial Data Framework for ggplot2,"Spatial data plus the power of the ggplot2 framework means easier mapping when input 
  data are already in the form of spatial objects."
ggstance,0.3.5,2020-12-17,R 4.2.0,CRAN,Horizontal 'ggplot2' Components,"A 'ggplot2' extension that provides flipped components:
    horizontal versions of 'Stats' and 'Geoms', and vertical versions
    of 'Positions'. This package is now superseded by 'ggplot2' itself
    which now has full native support for horizontal layouts. It
    remains available for backward compatibility."
ggtext,0.1.1,2020-12-17,R 4.2.0,CRAN,Improved Text Rendering Support for 'ggplot2',"A 'ggplot2' extension that enables the rendering of
    complex formatted plot labels (titles, subtitles, facet labels,
    axis labels, etc.). Text boxes with automatic word wrap are also
    supported."
ggtextures,0.0.1,2022-04-28,clauswilke/ggtextures@7418e01741613382749827981953996151a54017,Github,Drawing Textured Rectangles and Bars with grid and ggplot2,"This package provides functions and geoms to draw textured rectangles and
  bars with the grid graphics system and with ggplot2. This enables both bar graphs with
  pattern fill and isotype bar graphs."
ggthemes,4.2.4,2021-01-20,R 4.2.0,CRAN,"Extra Themes, Scales and Geoms for 'ggplot2'","Some extra themes, geoms, and scales for 'ggplot2'.
    Provides 'ggplot2' themes and scales that replicate the look of plots
    by Edward Tufte, Stephen Few, 'Fivethirtyeight', 'The Economist', 'Stata',
    'Excel', and 'The Wall Street Journal', among others.
    Provides 'geoms' for Tufte's box plot and range frame."
ggTimeSeries,1.0.2,2022-01-23,R 4.2.0,CRAN,Time Series Visualisations Using the Grammar of Graphics,Provides additional display mediums for time series visualisations.
gh,1.3.0,2021-04-30,R 4.2.0,CRAN,'GitHub' 'API',Minimal client to access the 'GitHub' 'API'.
git2r,0.30.1,2022-03-16,R 4.2.0,CRAN,Provides Access to Git Repositories,"Interface to the 'libgit2' library, which is a pure C
    implementation of the 'Git' core methods. Provides access to 'Git'
    repositories to extract data and running some basic 'Git'
    commands."
gitcreds,0.1.1,2020-12-04,R 4.2.0,CRAN,Query 'git' Credentials from 'R',"Query, set, delete credentials from the 'git' credential
    store. Manage 'GitHub' tokens and other 'git' credentials. This package
    is to be used by other packages that need to authenticate to 'GitHub'
    and/or other 'git' repositories."
gld,2.6.4,2021-12-16,R 4.2.0,CRAN,"Estimation and Use of the Generalised (Tukey) Lambda
Distribution","The generalised lambda distribution, or Tukey lambda distribution, 
  provides a wide variety of shapes with one functional form.   
  This package provides random numbers, quantiles, probabilities, 
  densities and density quantiles for four different types of the distribution,
  the FKML (Freimer et al 1988), RS (Ramberg and Schmeiser 1974), GPD (van Staden
  and Loots 2009) and FM5 - see documentation for details.
  It provides the density function, distribution function, and Quantile-Quantile 
  plots.  
  It implements a variety of estimation methods for the distribution, 
  including diagnostic plots. 
  Estimation methods include the starship (all 4 types), 
  method of L-Moments for the GPD and FKML types, and a 
  number of methods for only the FKML type.  
  These include maximum likelihood, maximum product of spacings, 
  Titterington's method, Moments, Trimmed L-Moments and 
  Distributional Least Absolutes. "
glmmTMB,1.1.3,2022-03-13,R 4.2.0,CRAN,Generalized Linear Mixed Models using Template Model Builder,"Fit linear and generalized linear mixed models with various
    extensions, including zero-inflation. The models are fitted using maximum
    likelihood estimation via 'TMB' (Template Model Builder). Random effects are
    assumed to be Gaussian on the scale of the linear predictor and are integrated
    out using the Laplace approximation. Gradients are calculated using automatic
    differentiation."
glmnet,4.1-4,2022-04-15,R 4.2.0,CRAN,Lasso and Elastic-Net Regularized Generalized Linear Models,"Extremely efficient procedures for fitting the entire lasso or elastic-net regularization path for linear regression, logistic and multinomial regression models, Poisson regression, Cox model,  multiple-response Gaussian, and the grouped multinomial regression. There are two new and important additions. The family argument can be a GLM family object, which opens the door to any programmed family. This comes with a modest computational cost, so when the built-in families suffice, they should be used instead.  The other novelty is the relax option, which refits each of the active sets in the path unpenalized. The algorithm uses cyclical coordinate descent in a path-wise fashion, as described in the papers listed in the URL below."
globals,0.14.0,2020-11-22,R 4.2.0,CRAN,Identify Global Objects in R Expressions,"Identifies global (""unknown"" or ""free"") objects in R expressions
    by code inspection using various strategies (ordered, liberal, or
    conservative).  The objective of this package is to make it as simple as
    possible to identify global objects for the purpose of exporting them in
    parallel, distributed compute environments."
glue,1.6.2,2022-02-24,R 4.2.0,CRAN,Interpreted String Literals,"An implementation of interpreted string literals, inspired by
    Python's Literal String Interpolation
    <https://www.python.org/dev/peps/pep-0498/> and Docstrings
    <https://www.python.org/dev/peps/pep-0257/> and Julia's Triple-Quoted
    String Literals
    <https://docs.julialang.org/en/v1.3/manual/strings/#Triple-Quoted-String-Literals-1>."
gmodels,2.18.1,2018-06-25,R 4.2.0,CRAN,Various R Programming Tools for Model Fitting,Various R programming tools for model fitting.
gmp,0.6-5,2022-03-17,R 4.2.0,CRAN,Multiple Precision Arithmetic,"Multiple Precision Arithmetic (big integers and rationals,
 prime number tests, matrix computation), ""arithmetic without limitations""
 using the C library GMP (GNU Multiple Precision Arithmetic)."
googleAuthR,2.0.0,2022-01-28,R 4.2.0,CRAN,Authenticate and Create Google APIs,"Create R functions that interact with OAuth2 Google APIs 
    <https://developers.google.com/apis-explorer/> easily,
    with auto-refresh and Shiny compatibility."
googleComputeEngineR,0.3.0,2019-05-04,R 4.2.0,CRAN,R Interface with Google Compute Engine,"Interact with the 'Google Compute Engine' API in R. Lets you create, 
  start and stop instances in the 'Google Cloud'.  Support for preconfigured instances, 
  with templates for common R needs. "
googledrive,2.0.0,2021-07-08,R 4.2.0,CRAN,An Interface to Google Drive,Manage Google Drive files from R.
googleLanguageR,0.3.0,2020-04-19,R 4.2.0,CRAN,"Call Google's 'Natural Language' API, 'Cloud Translation' API,
'Cloud Speech' API and 'Cloud Text-to-Speech' API","Call 'Google Cloud' machine learning APIs for text and speech tasks.
  Call the 'Cloud Translation' API <https://cloud.google.com/translate/> for detection 
  and translation of text, the 'Natural Language' API <https://cloud.google.com/natural-language/> to 
  analyse text for sentiment, entities or syntax, the 'Cloud Speech' API 
  <https://cloud.google.com/speech/> to transcribe sound files to text and 
  the 'Cloud Text-to-Speech' API <https://cloud.google.com/text-to-speech/> to turn text 
  into sound files."
googlePolylines,0.8.2,2020-12-15,R 4.2.0,CRAN,Encoding Coordinates into 'Google' Polylines,"Encodes simple feature ('sf') objects and coordinates, and decodes polylines 
    using the 'Google' polyline encoding algorithm (<https://developers.google.com/maps/documentation/utilities/polylinealgorithm>)."
googlesheets4,1.0.0,2021-07-21,R 4.2.0,CRAN,Access Google Sheets using the Sheets API V4,"Interact with Google Sheets through the Sheets API v4
    <https://developers.google.com/sheets/api>. ""API"" is an acronym for
    ""application programming interface""; the Sheets API allows users to
    interact with Google Sheets programmatically, instead of via a web
    browser. The ""v4"" refers to the fact that the Sheets API is currently
    at version 4. This package can read and write both the metadata and
    the cell data in a Sheet."
googleVis,0.6.12,2022-04-06,R 4.2.0,CRAN,R Interface to Google Charts,"R interface to Google's chart tools, allowing users
    to create interactive charts based on data frames. Charts
    are displayed locally via the R HTTP help server. A modern
    browser with an Internet connection is required. The data 
    remains local and is not uploaded to Google."
gower,1.0.0,2022-02-03,R 4.2.0,CRAN,Gower's Distance,"Compute Gower's distance (or similarity) coefficient between records. Compute 
    the top-n matches between records. Core algorithms are executed in parallel on systems
    supporting OpenMP."
GPArotation,2022.4-1,2022-04-16,R 4.2.0,CRAN,GPA Factor Rotation,Gradient Projection Algorithm Rotation for Factor Analysis. See '?GPArotation.Intro' for more details.
GPfit,1.0-8,2019-02-08,R 4.2.0,CRAN,Gaussian Processes Modeling,A computationally stable approach of fitting a Gaussian Process (GP) model to a deterministic simulator. 
gplots,3.1.3,2022-04-25,R 4.2.0,CRAN,Various R Programming Tools for Plotting Data,"Various R programming tools for plotting data, including:
  - calculating and plotting locally smoothed summary function as
    ('bandplot', 'wapply'),
  - enhanced versions of standard plots ('barplot2', 'boxplot2',
    'heatmap.2', 'smartlegend'),
  - manipulating colors ('col2hex', 'colorpanel', 'redgreen',
    'greenred', 'bluered', 'redblue', 'rich.colors'),
  - calculating and plotting two-dimensional data summaries ('ci2d',
    'hist2d'),
  - enhanced regression diagnostic plots ('lmplot2', 'residplot'),
  - formula-enabled interface to 'stats::lowess' function ('lowess'),
  - displaying textual data in plots ('textplot', 'sinkplot'),
  - plotting a matrix where each cell contains a dot whose size
    reflects the relative magnitude of the elements ('balloonplot'),
  - plotting ""Venn"" diagrams ('venn'),
  - displaying Open-Office style plots ('ooplot'),
  - plotting multiple data on same region, with separate axes
    ('overplot'),
  - plotting means and confidence intervals ('plotCI', 'plotmeans'),
  - spacing points in an x-y plot so they don't overlap ('space')."
graphlayouts,0.8.0,2022-01-03,R 4.2.0,CRAN,Additional Layout Algorithms for Network Visualizations,"Several new layout algorithms to visualize networks are provided which are not part of 'igraph'. 
    Most are based on the concept of stress majorization by Gansner et al. (2004) <doi:10.1007/978-3-540-31843-9_25>. 
    Some more specific algorithms allow to emphasize hidden group structures in networks or focus on specific nodes."
gridBase,0.4-7,2014-02-24,R 4.2.0,CRAN,Integration of base and grid graphics,Integration of base and grid graphics
gridExtra,2.3,2017-09-09,R 4.2.0,CRAN,"Miscellaneous Functions for ""Grid"" Graphics","Provides a number of user-level functions to work with ""grid""
    graphics, notably to arrange multiple grid-based plots on a page, and draw
    tables."
gridGraphics,0.5-1,2020-12-13,R 4.2.0,CRAN,Redraw Base Graphics Using 'grid' Graphics,"Functions to convert a page of plots drawn with the 
  'graphics' package into identical output drawn with the 'grid' package.
  The result looks like the original 'graphics'-based plot, but consists
  of 'grid' grobs and viewports that can then be manipulated with 
  'grid' functions (e.g., edit grobs and revisit viewports)."
gridtext,0.1.4,2020-12-10,R 4.2.0,CRAN,Improved Text Rendering Support for 'Grid' Graphics,"Provides support for rendering of formatted text using 'grid' graphics. Text can be
    formatted via a minimal subset of 'Markdown', 'HTML', and inline 'CSS' directives, and it can be
    rendered both with and without word wrap."
gsubfn,0.7,2018-03-16,R 4.2.0,CRAN,Utilities for Strings and Function Arguments,"The gsubfn function is like gsub but can take a replacement 
   function or certain other objects instead of the replacement string.
   Matches and back references are input to the replacement function and 
   replaced by the function output.   gsubfn can be used to split strings 
   based on content rather than delimiters and for quasi-perl-style string 
   interpolation. The package also has facilities for translating formulas 
   to functions and allowing such formulas in function calls instead of 
   functions.  This can be used with R functions such as apply, sapply,
   lapply, optim, integrate, xyplot, Filter and any other function that 
   expects another function as an input argument or functions like cat
   or sql calls that may involve strings where substitution is desirable.
   There is also a facility for returning multiple objects from functions
   and a version of transform that allows the RHS to refer to LHS used in
   the same transform."
gt,0.5.0,2022-04-21,R 4.2.0,CRAN,Easily Create Presentation-Ready Display Tables,"Build display tables from tabular data with an easy-to-use set of
    functions. With its progressive approach, we can construct display tables
    with a cohesive set of table parts. Table values can be formatted using any
    of the included formatting functions. Footnotes and cell styles can be 
    precisely added through a location targeting system. The way in which 'gt'
    handles things for you means that you don't often have to worry about the
    fine details."
gtable,0.3.0,2019-03-25,R 4.2.0,CRAN,Arrange 'Grobs' in Tables,"Tools to make it easier to work with ""tables"" of
    'grobs'. The 'gtable' package defines a 'gtable' grob class that specifies a
    grid along with a list of grobs and their placement in the grid. Further the
    package makes it easy to manipulate and combine 'gtable' objects so that 
    complex compositions can be build up sequentially."
gtExtras,0.3,2022-04-28,jthomasmock/gtExtras@de9a68ff51238c7391bb1c4e65dd18406d5bd22f,Github,Extending 'gt' for Beautiful HTML Tables,"Provides additional functions for creating beautiful tables
    with 'gt'. The functions are generally wrappers around boilerplate or
    adding capabilities that are currently not built into 'gt'."
gtools,3.9.2,2021-06-06,R 4.2.0,CRAN,Various R Programming Tools,"Functions to assist in R programming, including:
  - assist in developing, updating, and maintaining R and R packages ('ask', 'checkRVersion',
    'getDependencies', 'keywords', 'scat'),
  - calculate the logit and inverse logit transformations ('logit', 'inv.logit'),
  - test if a value is missing, empty or contains only NA and NULL values ('invalid'),
  - manipulate R's .Last function ('addLast'),
  - define macros ('defmacro'),
  - detect odd and even integers ('odd', 'even'),
  - convert strings containing non-ASCII characters (like single quotes) to plain ASCII ('ASCIIfy'),
  - perform a binary search ('binsearch'),
  - sort strings containing both numeric and character components ('mixedsort'),
  - create a factor variable from the quantiles of a continuous variable ('quantcut'),
  - enumerate permutations and combinations ('combinations', 'permutation'),
  - calculate and convert between fold-change and log-ratio ('foldchange',
    'logratio2foldchange', 'foldchange2logratio'),
  - calculate probabilities and generate random numbers from Dirichlet distributions
    ('rdirichlet', 'ddirichlet'),
  - apply a function over adjacent subsets of a vector ('running'),
  - modify the TCP\_NODELAY ('de-Nagle') flag for socket objects,
  - efficient 'rbind' of data frames, even if the column names don't match ('smartbind'),
  - generate significance stars from p-values ('stars.pval'),
  - convert characters to/from ASCII codes ('asc', 'chr'),
  - convert character vector to ASCII representation ('ASCIIfy'),
  - apply title capitalization rules to a character vector ('capwords')."
gtsummary,1.6.0,2022-04-25,R 4.2.0,CRAN,Presentation-Ready Data Summary and Analytic Result Tables,"Creates presentation-ready tables summarizing data
    sets, regression models, and more. The code to create the tables is
    concise and highly customizable. Data frames can be summarized with
    any function, e.g. mean(), median(), even user-written functions.
    Regression models are summarized and include the reference rows for
    categorical variables. Common regression models, such as logistic
    regression and Cox proportional hazards regression, are automatically
    identified and the tables are pre-filled with appropriate column
    headers."
gvlma,1.0.0.3,2019-01-05,R 4.2.0,CRAN,Global Validation of Linear Models Assumptions,"Methods from the paper: Pena, EA and Slate, EH, ""Global Validation of Linear Model Assumptions,"" J. American Statistical Association, 101(473):341-354, 2006."
hardhat,0.2.0,2022-01-24,R 4.2.0,CRAN,Construct Modeling Packages,"Building modeling packages is hard. A large amount
    of effort generally goes into providing an implementation for a new
    method that is efficient, fast, and correct, but often less emphasis
    is put on the user interface. A good interface requires specialized
    knowledge about S3 methods and formulas, which the average package
    developer might not have.  The goal of 'hardhat' is to reduce the
    burden around building new modeling packages by providing
    functionality for preprocessing, predicting, and validating input."
haven,2.5.0,2022-04-15,R 4.2.0,CRAN,"Import and Export 'SPSS', 'Stata' and 'SAS' Files","Import foreign statistical formats into R via the embedded
    'ReadStat' C library, <https://github.com/WizardMac/ReadStat>."
hcup,0.0.0.9000,2022-04-28,Hunterratliff1/hcup@1a4ee3b0f8ebdf7598b47f51fa642a2f92e313a8,Github,Implementation of HCUP Software Tools in R,"Adapts the software provided by the Healthcare Cost and Utilization Project (HCUP) 
  for analyses of administrative database using International Classification of Diseases (ICD) 
  codes within the R statistical environment."
hcup.data,0.0.0.9000,2022-04-28,HunterRatliff1/hcup.data@18cfeaa5f7d78671cb5efee56e77ff654b77bc65,Github,Datasets Derived From HCUP Software Tools,This package provides datasets used in the Healthcare Cost and Utilization Project (HCUP) Software tools
HDInterval,0.2.2,2020-05-23,R 4.2.0,CRAN,Highest (Posterior) Density Intervals,"A generic function and a set of methods to calculate highest density intervals for a variety of classes of objects which can specify a probability density distribution, including MCMC output, fitted density objects, and functions."
hdrcde,3.4,2021-01-18,R 4.2.0,CRAN,Highest Density Regions and Conditional Density Estimation,"Computation of highest density regions in one and two dimensions, kernel estimation of univariate density functions conditional on one covariate,and multimodal regression."
here,1.0.1,2020-12-13,R 4.2.0,CRAN,A Simpler Way to Find Your Files,"Constructs paths to your project's files.
    Declare the relative path of a file within your project with 'i_am()'.
    Use the 'here()' function as a drop-in replacement for 'file.path()',
    it will always locate the files relative to your project root."
hexbin,1.28.2,2021-01-08,R 4.2.0,CRAN,Hexagonal Binning Routines,Binning and plotting functions for hexagonal bins.
highr,0.9,2021-04-16,R 4.2.0,CRAN,Syntax Highlighting for R Source Code,"Provides syntax highlighting for R source code. Currently it
    supports LaTeX and HTML output. Source code of other languages is supported
    via Andre Simon's highlight package (<http://www.andre-simon.de>)."
HistData,0.8-7,2021-03-09,R 4.2.0,CRAN,Data Sets from the History of Statistics and Data Visualization,"The 'HistData' package provides a collection of small data sets
    that are interesting and important in the history of statistics and data
    visualization. The goal of the package is to make these available, both for
    instructional use and for historical research. Some of these present interesting
    challenges for graphics or analysis in R."
Hmisc,4.6-0,2021-10-07,R 4.2.0,CRAN,Harrell Miscellaneous,"Contains many functions useful for data
	analysis, high-level graphics, utility operations, functions for
	computing sample size and power, simulation, importing and annotating datasets,
	imputing missing values, advanced table making, variable clustering,
	character string manipulation, conversion of R objects to LaTeX and html code,
	and recoding variables."
hms,1.1.1,2021-09-26,R 4.2.0,CRAN,Pretty Time of Day,"Implements an S3 class for storing and formatting time-of-day
    values, based on the 'difftime' class."
hoardr,0.5.2,2018-12-02,R 4.2.0,CRAN,Manage Cached Files,"Suite of tools for managing cached files, targeting
    use in other R packages. Uses 'rappdirs' for cross-platform paths.
    Provides utilities to manage cache directories, including targeting
    files by path or by key; cached directories can be compressed and
    uncompressed easily to save disk space."
hrbrthemes,0.8.0,2020-03-06,R 4.2.0,CRAN,"Additional Themes, Theme Components and Utilities for 'ggplot2'","A compilation of extra 'ggplot2' themes, scales and utilities, including a 
    spell check function for plot label fields and an overall emphasis on typography. 
    A copy of the 'Google' font 'Roboto Condensed' <https://github.com/google/roboto/> 
    is also included along with a copy of the 'IBM' 'Plex Sans' <https://github.com/IBM/type>,
    'Titillium Web' <https://fonts.google.com/specimen/Titillium+Web>, and
    'Public Sans' <https://github.com/uswds/public-sans/> fonts
    are also included to support their respective typography-oriented themes."
htmlTable,2.4.0,2022-01-04,R 4.2.0,CRAN,Advanced Tables for Markdown/HTML,"Tables with state-of-the-art layout elements such as row spanners,
    column spanners, table spanners, zebra striping, and more. While allowing
    advanced layout, the underlying css-structure is simple in order to maximize
    compatibility with common word processors.  The package also contains a few 
    text formatting functions that help outputting text compatible with HTML/LaTeX."
htmltools,0.5.2,2021-08-25,R 4.2.0,CRAN,Tools for HTML,Tools for HTML generation and output.
htmlwidgets,1.5.4,2021-09-08,R 4.2.0,CRAN,HTML Widgets for R,"A framework for creating HTML widgets that render in various
    contexts including the R console, 'R Markdown' documents, and 'Shiny'
    web applications."
httpcode,0.3.0,2020-04-10,R 4.2.0,CRAN,'HTTP' Status Code Helper,"Find and explain the meaning of 'HTTP' status codes.
    Functions included for searching for codes by full or partial number,
    by message, and get appropriate dog and cat images for many
    status codes."
httpuv,1.6.5,2022-01-05,R 4.2.0,CRAN,HTTP and WebSocket Server Library,"Provides low-level socket and protocol support for handling
    HTTP and WebSocket requests directly from within R. It is primarily
    intended as a building block for other packages, rather than making it
    particularly easy to create complete web applications using httpuv alone.
    httpuv is built on top of the libuv and http-parser C libraries, both of
    which were developed by Joyent, Inc. (See LICENSE file for libuv and
    http-parser license information.)"
httr,1.4.2,2020-07-20,R 4.2.0,CRAN,Tools for Working with URLs and HTTP,"Useful tools for working with HTTP organised by
    HTTP verbs (GET(), POST(), etc). Configuration functions make it easy
    to control additional request components (authenticate(),
    add_headers() and so on)."
hunspell,3.0.1,2020-12-09,R 4.2.0,CRAN,"High-Performance Stemmer, Tokenizer, and Spell Checker","Low level spell checker and morphological analyzer based on the 
    famous 'hunspell' library <https://hunspell.github.io>. The package can analyze
    or check individual words as well as parse text, latex, html or xml documents.
    For a more user-friendly interface use the 'spelling' package which builds on
    this package to automate checking of files, documentation and vignettes in all
    common formats."
huxtable,5.4.0,2021-05-14,R 4.2.0,CRAN,"Easily Create and Style Tables for LaTeX, HTML and Other Formats","Creates styled tables for data presentation. Export to HTML, LaTeX,
  RTF, 'Word', 'Excel', and 'PowerPoint'. Simple, modern interface to manipulate 
  borders, size, position, captions, colours, text styles and number formatting.
  Table cells can span multiple rows and/or columns.
  Includes  a 'huxreg' function for creation of regression tables, and 'quick_*' 
  one-liners to print data to a new document."
hypergeo,1.2-13,2016-04-07,R 4.2.0,CRAN,The Gauss Hypergeometric Function,The Gaussian hypergeometric function for complex numbers.
icd,4.0.9.9000,2022-04-28,jackwasey/icd@9d6933ea188551e767a1e78791573e94d27e6539,Github,Comorbidity Calculations and Tools for ICD-9 and ICD-10 Codes,"Calculate comorbidities, medical risk scores, and
    work very quickly and precisely with ICD-9 and ICD-10 codes. This
    package enables a work flow from raw tables of ICD codes in hospital
    databases to comorbidities. ICD-9 and ICD-10 comorbidity mappings from
    Quan (Deyo and Elixhauser versions), Elixhauser and AHRQ included.
    Common ambiguities and code formats are handled. Comorbidity
    computation includes Hierarchical Condition Codes, and an
    implementation of AHRQ Clinical Classifications. Risk scores include
    those of Charlson and van Walraven.  US Clinical Modification, Word
    Health Organization, Belgian and French ICD-10 codes are supported,
    most of which are downloaded on demand."
ids,1.0.1,2017-05-31,R 4.2.0,CRAN,Generate Random Identifiers,Generate random or human readable and pronounceable identifiers.
igraph,1.3.1,2022-04-20,R 4.2.0,CRAN,Network Analysis and Visualization,"Routines for simple graphs and network analysis. It can
  handle large graphs very well and provides functions for generating random
  and regular graphs, graph visualization, centrality methods and much more."
infer,1.0.0,2021-08-13,R 4.2.0,CRAN,Tidy Statistical Inference,"The objective of this package is to perform
    inference using an expressive statistical grammar that coheres with
    the tidy design framework."
influenceR,0.1.0.1,2021-09-25,R 4.2.0,CRAN,"Software Tools to Quantify Structural Importance of Nodes in a
Network","Provides functionality to compute various node centrality measures on networks.
    Included are functions to compute betweenness centrality (by utilizing Madduri and Bader's
    SNAP library), implementations of Burt's constraint and effective
    network size (ENS) metrics, Borgatti's algorithm to identify key players, and Valente's
    bridging metric. On Unix systems, the betweenness, Key Players, and
    bridging implementations are parallelized with OpenMP, which may run
    faster on systems which have OpenMP configured."
